title,url,has_fee
Matrix means for network estimation with applications to fMRI data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300387,FALSE
Change point detection for Self-Exciting Point Processes,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300495,FALSE
Semiparametric estimation of continuous-time structural failure time model,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300027,FALSE
The choice to define competing risk events as censoring events and implications for causal inference,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300370,FALSE
Marginal Structural Models for a continuous outcome when the risk of death depends on treatment,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300502,FALSE
Locating targets via wireless sensor networks,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300591,FALSE
Towards demystifying over-parameterization in deep learning,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300578,FALSE
"Empirical Optimal Transport: Inference, Algorithms, Applications",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300110,FALSE
The Jury is Out: Communicating Bayesian Statistics in a Courtroom Trial,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300092,FALSE
Bayesian Clinical Trial Consulting,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300315,FALSE
"The primordial soup for Bayesian analysis in collaborative settings: technical skill, communication, and trust",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300147,FALSE
A Statistical Pipeline for Feature Selection and Association Mapping with 3D Shapes,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300564,FALSE
Irreducible Representations and Multi-Frequency Phase Synchronization,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300476,FALSE
Gibbs posterior consistency and the thermodynamic formalism,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300451,FALSE
Recovering topology from the bottom of the well.,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300450,FALSE
Finite mixture clustering of risk behaviors for an infectious disease,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300280,FALSE
RELIEF-Based Feature Selection for Heterogeneous Treatment Effects with Massive Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300273,FALSE
Matching Methods for Observational Data with Small Group Sizes and Mising Covariates,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300263,FALSE
Post-Market Surveillance of Arthroplasty Device Components Using Machine Learning,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300155,FALSE
Havrda and Charvat Entropy based measures to assess longitudinal surrogate endpoints in clinical trials,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300122,FALSE
Statistical considerations for biomarker-based surrogate endpoints,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300431,FALSE
An information-theoretic approach for the evaluation of surrogate endpoints based on causal inference ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300444,FALSE
Model Free Approach to Quantifying the Proportion of Treatment Effect Explained by a Surrogate Marker,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300598,FALSE
Bayesian Disaggregation of Spatio-Temporal Community Indicators Estimated via Surveys: an application to the American Community Survey,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300287,FALSE
A model-based approach to predict employee compensation components ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300325,FALSE
Relationship mining in big data from surveys using penalization and the bag-of-little-bootstraps,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300377,FALSE
Regression Composite Estimation for Current Population Survey,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300409,FALSE
Uncertainty Quantification of Treatment Regime with High-Dimensional Covariates,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300584,FALSE
Testing mediation effect in compositional microbiome data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300504,FALSE
Globally Adaptive Quantile Regression for Complex High-Dimensional Longitudinal Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300492,FALSE
Analysis of Multivariate Failure Time Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300091,FALSE
Forecasting Mood Scores for Medical Interns using Data from Mobile Phones and Wearables,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300621,FALSE
Robust tests in online decision-making: testing the utility of data collected by wearables,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300614,FALSE
A new contextual multi-armed bandit algorithm for semiparametric reward model. ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300179,FALSE
Stochastic Dynamics in Behavioral Mobile Health: Joint Modeling of Dynamic Health and Engagement Outcomes,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300116,FALSE
"An introduction to 3MC surveys, the state-of-the-art, and key challenges",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300526,FALSE
Error sources and quality management in 3MC surveys,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300189,FALSE
Quality procedures to maximize comparability – experiences from the European Social Survey,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300529,FALSE
Making the case for 3MC surveys as a subdiscipline in survey research,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300468,FALSE
Inference from Multivariate Respondent-Driven Sampling Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300077,FALSE
Regression Methods for Respondent-Driven Sampling Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300180,FALSE
Toward Evaluation of Dissemination of HIV Prevention Interventions Among Networks of People Who Inject Drugs,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300482,FALSE
Bayesian auto-g-computation of network causal effects: incarceration and infection in a high risk network,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300558,FALSE
Artificial Intelligence for Data Science,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300002,FALSE
"To the Point: Critical Skills and Knowledge To Be Successful in Academia, Industry And the Government",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300486,FALSE
A Case Study of Phase II/III Seamless Adaptive Design ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301786,FALSE
Bayesian Adaptive Approach for Neoadjuvant/Adjuvant Oncology Trial,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304798,FALSE
"Sample Size Re-Estimation in Action: Design Consideration, Charter Development, and Implementation of Analyses in a Trial with Survival Endpoints ",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302906,FALSE
Similarity-Based Artificial Intelligence for Adaptive Clinical Trial and Beyond,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306859,FALSE
An efficient sample size adaptation strategy with adjustment of randomization ratio,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304733,FALSE
Current and Future Directions of Intensive Longitudinal Data Analysis,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304601,FALSE
The role of time-dependent covariates in models for the risk of repeated events,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301843,FALSE
Shared parameter mixed-effects location scale models for intensive longitudinal data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302873,FALSE
Vecchia-Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301773,FALSE
Online Decentralized Leverage Score Sampling for Streaming Multidimensional Time Series,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301825,FALSE
The R conf Package for Plotting Likelihood-Ratio Based Confidence Regions for Two-Parameter Univariate Probability Models,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301844,FALSE
Computing High-Dimensional Normal and Student-t Probabilities with Tile-Low-Rank Quasi-Monte Carlo and Block Reordering,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302921,FALSE
A new tidy data structure to support exploration and modeling of temporal data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304652,FALSE
On Theory for BART,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301755,FALSE
Bayesian tree models for continuous treatment effects,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307316,FALSE
XBART: Accelerated Bayesian Additive Regression Trees,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306923,FALSE
Nonparametric survival analysis with Dirichlet Processes Mixtures and heteroskedastic Bayesian Additive Regression Trees,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306877,FALSE
Adaptive Splitting Bayesian Regression Tree Models for Image Analysis,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306620,FALSE
On the ‘Off-Label’ Use of Data Normalization for Sample Classification and Prognostication,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307071,FALSE
Batch Effects Correction with Unknown Subtypes with Application to Paired microRNA Datasets,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305174,FALSE
Multiple testing under dependence and non-sparsity with applications in genomics and toxicology,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=303012,FALSE
Detection of common-variance subspace and its application to classification,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306573,FALSE
"Horseshoes, Shape Mixing, and Ultra-sparse Locally Adaptive Shrinkage",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306791,FALSE
Comparing and combining forecast distributions having different dimensions,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304664,FALSE
Inconvenient Diagnostics and Corrections for Convenience Samples,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306846,FALSE
Model misspecification and familial null hypotheses,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306392,FALSE
Worldwide Statistics Without Borders: Community Service Impact on Client Decision Making,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307023,FALSE
Emerging opportunities for utilizing real-world evidence to impact drug development and regulatory decision-making ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304149,FALSE
What Contributes to a Successful Data Visualization Project?,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304802,FALSE
Addressing Data For Good’s Need For Project Leaders,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307094,FALSE
Instrumental variable estimation of weighted local average treatment effects,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300652,FALSE
Two-Stage Residual Inclusion under the Additive Hazards Model  - An Instrumental Variable Approach with Application to SEER-Medicare Linked Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=300665,FALSE
xtgeebcv: A Stata command for bias-corrected sandwich variance estimation for GEE analyses of cluster randomized trials,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301678,FALSE
Sensitivity analysis and the Odds Ratio,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301753,FALSE
"On the identification of individual principal stratum direct, natural direct and pleiotropic effects without cross-world independence assumptions",http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302915,FALSE
Mediation analysis with a censored mediator in a case–control study,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=303026,FALSE
Conditional Process Analysis: Moderated Mediation Model of Perceived Ethnic Discrimination and Binge Drinking among Recent Latino Immigrant Youth,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304235,FALSE
A Modified Partial Likelihood Score Method for Cox Regression with Covariate Error Under the Internal Validation Design,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304261,FALSE
  Multivariate One-sided Testing in Matched Observational Studies as an Adversarial Game,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304302,FALSE
Permutation weighting,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304901,FALSE
A calibrated sensitivity analysis for matched observational studies with application to the effect of second-hand smoke exposure on blood lead levels in U.S. children,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304975,FALSE
Estimation of Mediation Effect for High-dimensional Omics Mediators with Application to the Framingham Heart Study,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305245,FALSE
Bias and efficiency in a matched observational study with varying cluster size,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306417,FALSE
Testing for Weak Instruments in Two Sample Summary Data Multivariable Mendelian Randomisation,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306449,FALSE
Estimating Uncertainty in Weighted Competing Risk Analyses,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306697,FALSE
Person as Population: A Longitudinal View of Single-Subject Causal Inference for Analyzing Self-Tracked Health Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306773,FALSE
Causal Mediation Analysis using Gradient Boosting Machines: Developing Methods and Software,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306950,FALSE
Hypothesis Testing in Nonlinear Function on Scalar Regression with Application to Child Growth Study,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307218,FALSE
Identify consensus among match makers: A clustering aggregation perspective ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307283,FALSE
Interactive Visualization of Housing Condition Changes in NYC,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304556,FALSE
Immigration Generation Status to Quality of Life over Time,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304592,FALSE
An analysis of rent-control policy on housing quality,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304897,FALSE
An analysis of immigrants and house condition in New York City,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305132,FALSE
Estimating the Optimality of Home Ownership in New York City in light of Career-Related Factors,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305276,FALSE
Correlates and Changes in New York City Housing Densities from 2002 to 2017,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306471,FALSE
Data Challenge Expo,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306495,FALSE
University of Virginia undergraduate competition winner entry for Data Challenge Expo 2019,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306501,FALSE
Statistical Analysis of the Association between Housing Quality/Gentrification and Resident Behaviors in New York City,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306864,FALSE
Measuring Gentrification Over Time with the NYCHVS,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306895,FALSE
Measuring Gentrification: A Data Driven Approach,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307069,FALSE
Changes in Quality Housing Index in New York City,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307126,FALSE
New York City: Is the city under an affordability crisis? A multi layer analysis,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307136,FALSE
NYCHVS In The ASA Data Challenge Expo: An Attempt To Assess The Housing Quality And Price,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307367,FALSE
Findings from Analysis and Visualization of the New York City Housing and Vacancy Survey Data,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307242,FALSE
Comparing NYCHVS Responses about Housing Issues to NYC 311 Complaint Records ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307317,FALSE
Frame Development and Sample Design for the 2018 National Survey of Children's Health,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304231,FALSE
A Modeling Approach to Compensate for Nonresponse and Selection Bias in Surveys,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304375,FALSE
A Comparison of Clustering Criteria for Evaluating Multivariate Stratifications of Primary Sampling Units,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304514,FALSE
Statistical Data Integration and Inference via Multilevel Regression and Poststratification ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306671,FALSE
Achieving sample efficiency by using both a list frame and an ABS frame,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305258,FALSE
Comparing the performance of machine learning and semiparametric regression methods for prediction of travel times and flows on urban mass transit systems,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304108,FALSE
The relationship between driver performance and driver workload using functional data analysis,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304805,FALSE
Causal Impacts of New Urban Transit Provision on Air Quality: A Case Study of Jubilee Line Extension in London,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305008,FALSE
Comparing the Quality of Online to Interviewer-Gathered Survey Data: Preliminary Results from the 2019 Survey of Consumer Finances Web Experiment,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306466,FALSE
Cluster-stratified outcome-dependent sampling in resource-limited settings: inference and small-sample considerations,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306608,FALSE
Bayesian Uncertainty Estimation Under Complex Sampling,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306740,FALSE
How hard is it to remove mode effects in multimode surveys? Basic weighting v. three model-based methods,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306748,FALSE
Successive Difference Replication Applications,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306893,FALSE
Use of an Artificial Realistic Dataset to Compare the Performance of Different Cross-Sectional Methods for Estimating Crash Modification Factors,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306461,FALSE
Use of Matching Algorithms to Determine Unit Eligibility ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307021,FALSE
DOE Optimization of Managing Trip in Europe,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304858,FALSE
Does Location Matter? A Case-Study of The Influence of Geography in Measurement of Gasoline Price Inflation,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307402,FALSE
Estimating generalized linear models with the pseudo-marginal Metropolis-Hastings algorithm,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305179,FALSE
Two-step estimation for time varying ARCH models,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301858,FALSE
 Shortest Median Length Confidence Interval for the Power of the t-Test,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307298,FALSE
Exploring RNA-protein interactions at amino-acid level via a multinoimal logistic regression model with latent responses,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306781,FALSE
Threshold Regression In Presence of Missing Covariate,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306862,FALSE
Empirical and Conditional Likelihoods for Two-phase Studies with Response-Dependent Samples,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=307205,FALSE
Approaches to Bias Correction when using Propensity Scores Estimated from Imperfect EHR-Derived Covariates,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304369,FALSE
Causal Methods to Adjust for Confounding when Air Pollution Exposure is Measured with Error ,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=306962,FALSE
Alzheimer's disease risk prediction with multidimensional biomarkers,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304268,FALSE
Analysis of Big and Complex Data in National Cotton Variety Test,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=305263,FALSE
Statistical considerations for trials that study multiple indications,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=301836,FALSE
Estimating Dynamic Treatment Regimes in Long-Term Observational Studies Using Infinite-Horizon Partially Observable Markov Decision Process,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302955,FALSE
Domain Adaption Machine Learning for Optimizing Treatment Strategies in Randomized Trials by Leveraging Electronic Health Records,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=302970,FALSE
A PRECISION MEDICINE APPROACH TO DETERMINE OPTIMAL TREATMENTS FOR OVERWEIGHT AND OBESE ADULTS WITH KNEE OSTEOARTHRITIS,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=303064,FALSE
A Fully  Robust Procedure for Subgroup Inference,http://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=304823,FALSE
